+----------------+-----------+
|      Word      | Frequency |
|     agreed     |     1     |
|    western     |     1     |
|      aims      |     1     |
|     reduce     |     1     |
|    revenue     |     1     |
|      war       |     1     |
|     health     |     1     |
| correspondents |     1     |
|     ghana      |     1     |
|    warning     |     1     |
|    harmful     |     1     |
|      new       |     1     |
|   prophecies   |     1     |
|    dickens     |     1     |
|     olewe      |     1     |
|     robots     |     1     |
|      stop      |     1     |
|    billions    |     1     |
|     litres     |     1     |
|     leaks      |     1     |
|    victoria    |     1     |
|      gill      |     1     |
|    harvest     |     1     |
|   worthless    |     1     |
|     laura      |     1     |
|     bicker     |     1     |
|     virma      |     1     |
|     rivera     |     1     |
|     indie      |     1     |
|     music      |     1     |
|     stars      |     1     |
|    knocking    |     1     |
|   bollywood    |     1     |
|     charts     |     1     |
|      zoya      |     1     |
|     mateen     |     1     |
|      five      |     1     |
|    sequins     |     1     |
|      add       |     1     |
|    plastic     |     1     |
|   pollution    |     1     |
|     navin      |     1     |
|     singh      |     1     |
|     khadka     |     1     |
|     saving     |     1     |
|      holy      |     1     |
|      land      |     1     |
|    donkeys     |     1     |
|    yolande     |     1     |
|     knell      |     1     |
|      ‘if       |     1     |
|      get       |     1     |
|     first      |     1     |
|      shot      |     1     |
|      kill      |     1     |
|      son       |     1     |
|    rebecca     |     1     |
|    henschke    |     1     |
|      aung      |     1     |
|   charlotte    |     1     |
|    attwood     |     1     |
|      mean      |     1     |
|    indians     |     1     |
|   outnumber    |     1     |
|     soutik     |     1     |
|     biswas     |     1     |
|     global     |     1     |
|     trade      |     1     |
|   sheffield    |     1     |
|   yorkshire    |     1     |
|     война      |     1     |
|    украине     |     1     |
|     новая      |     1     |
|     волна      |     1     |
|     ударов     |     1     |
|     взрывы     |     1     |
|   произошли    |     1     |
|     киеве      |     1     |
|     львове     |     1     |
|     других     |     1     |
|    городах     |     1     |
|     claves     |     1     |
|      del       |     1     |
|   explosivo    |     1     |
|    aumento     |     1     |
|     casos      |     1     |
|       en       |     1     |
|      tras      |     1     |
|       el       |     1     |
|      fin       |     1     |
|      las       |     1     |
| restricciones  |     1     |
|      para      |     1     |
|   controlar    |     1     |
|       la       |     1     |
|   enfermedad   |     1     |
|    اعتراضات    |     1     |
|     نگرانی     |     1     |
|    خانواده     |     1     |
|     برنارد     |     1     |
|    فیلان،‌     |     1     |
|     شهروند     |     1     |
|    ایرلندی     |     1     |
|    فرانسوی     |     1     |
|     زندانی     |     1     |
|       در       |     1     |
|    medidas     |     1     |
|  emergenciais  |     1     |
|       na       |     1     |
|     saúde      |     1     |
|      que       |     1     |
|      lula      |     1     |
|      deve      |     1     |
|     adotar     |     1     |
|     início     |     1     |
|    mandato     |     1     |
|     arabic     |     1     |
|      عربي      |     1     |
|     azeri      |     1     |
|   azərbaycan   |     1     |
|     bangla     |     1     |
|     বাংলা      |     1     |
|    burmese     |     1     |
|     မြန်မာ      |     1     |
|     中文网     |     1     |
|     french     |     1     |
|    afrique     |     1     |
|     hindi      |     1     |
|     हिन्दी      |     1     |
|   indonesian   |     1     |
|   indonesia    |     1     |
|    japanese    |     1     |
|     日本語     |     1     |
|  kinyarwanda   |     1     |
|     gahuza     |     1     |
|     kyrgyz     |     1     |
|     кыргыз     |     1     |
|    marathi     |     1     |
|     मराठी      |     1     |
|     nepali     |     1     |
|     नेपाली     |     1     |
|     pashto     |     1     |
|      پښتو      |     1     |
|     فارسی      |     1     |
|     brasil     |     1     |
|       на       |     1     |
|    русском     |     1     |
|    sinhala     |     1     |
|     සිංහල      |     1     |
|     mundo      |     1     |
|     tamil      |     1     |
|      தமிழ்      |     1     |
|    turkish     |     1     |
|     türkçe     |     1     |
|   українськa   |     1     |
|      urdu      |     1     |
|      اردو      |     1     |
